physid,round,contribution,average_others,bonus,group_id_in_round,group_individual_share,belief,group_total_cont,loss0_gain1,total_payoff,gender,age,riskpos,riskneg,ua_pos,ua_neg,reci,session,la
783,6,15,15,0,2,15,11,30,0,-489,0,23,,,2,5,41,1,
783,7,5,18,1,1,4,4,9,0,-489,0,23,,,2,5,41,1,
783,8,12,19,3,2,7,1,15,0,-489,0,23,,,2,5,41,1,
783,9,12,20,2,1,6,1,12,0,-489,0,23,,,2,5,41,1,
783,10,12,20,0,2,6,3,12,0,-489,0,23,,,2,5,41,1,
783,11,12,18,2,3,8,3,17,0,-489,0,23,,,2,5,41,1,
783,12,10,19,0,1,6,4,12,0,-489,0,23,,,2,5,41,1,
783,13,12,14,1,1,15,4,30,0,-489,0,23,,,2,5,41,1,
783,14,16,7,0,1,26,8,53,0,-489,0,23,,,2,5,41,1,
783,15,0,4,0,2,23,0,46,0,-489,0,23,,,2,5,41,1,
783,16,12,6,0,3,26,4,52,0,-489,0,23,,,2,5,41,1,
783,17,14,20,0,1,7,13,14,0,-489,0,23,,,2,5,41,1,
783,18,12,16,1,2,11,6,23,0,-489,0,23,,,2,5,41,1,
783,19,5,10,0,3,17,5,35,0,-489,0,23,,,2,5,41,1,
783,20,12,16,0,3,11,8,22,0,-489,0,23,,,2,5,41,1,
783,21,12,20,0,2,6,4,12,0,-489,0,23,,,2,5,41,1,
783,22,5,18,2,3,5,3,10,0,-489,0,23,,,2,5,41,1,
783,23,5,8,0,1,19,2,39,0,-489,0,23,,,2,5,41,1,
783,24,15,11,0,3,21,12,42,0,-489,0,23,,,2,5,41,1,
783,25,14,11,1,3,19,11,39,0,-489,0,23,,,2,5,41,1,
783,26,12,18,0,1,8,8,17,0,-489,0,23,,,2,5,41,1,
783,27,11,19,0,2,6,5,13,0,-489,0,23,,,2,5,41,1,
799,1,0,11,2,2,12,10,25,0,-383,1,23,8,5,1,1,110,1,6
799,2,0,10,0,1,15,0,30,0,-383,1,23,8,5,1,1,110,1,6
799,3,0,13,0,2,10,0,20,0,-383,1,23,8,5,1,1,110,1,6
799,4,0,15,3,2,7,5,15,0,-383,1,23,8,5,1,1,110,1,6
799,5,0,12,0,3,11,5,23,0,-383,1,23,8,5,1,1,110,1,6
799,6,0,18,1,1,2,0,5,0,-383,1,23,8,5,1,1,110,1,6
799,7,0,14,0,2,8,2,17,0,-383,1,23,8,5,1,1,110,1,6
799,8,20,19,0,3,11,5,22,0,-383,1,23,8,5,1,1,110,1,6
799,9,0,16,2,1,6,5,12,0,-383,1,23,8,5,1,1,110,1,6
799,10,0,17,1,1,3,5,7,0,-383,1,23,8,5,1,1,110,1,6
799,11,0,19,0,1,1,5,2,0,-383,1,23,8,5,1,1,110,1,6
799,12,0,18,2,2,3,3,6,0,-383,1,23,8,5,1,1,110,1,6
799,13,0,10,0,1,15,2,30,0,-383,1,23,8,5,1,1,110,1,6
799,14,0,20,1,3,0,2,0,0,-383,1,23,8,5,1,1,110,1,6
799,15,0,19,2,1,1,2,2,0,-383,1,23,8,5,1,1,110,1,6
799,16,0,16,0,1,6,1,12,0,-383,1,23,8,5,1,1,110,1,6
799,17,0,15,0,1,7,2,14,0,-383,1,23,8,5,1,1,110,1,6
799,18,0,12,0,2,11,4,23,0,-383,1,23,8,5,1,1,110,1,6
799,19,0,13,1,2,10,5,20,0,-383,1,23,8,5,1,1,110,1,6
799,20,10,13,1,1,15,5,30,0,-383,1,23,8,5,1,1,110,1,6
799,21,0,16,2,2,6,5,12,0,-383,1,23,8,5,1,1,110,1,6
799,22,20,10,0,1,24,6,48,0,-383,1,23,8,5,1,1,110,1,6
799,23,20,13,0,3,20,10,40,0,-383,1,23,8,5,1,1,110,1,6
799,24,20,13,1,2,20,5,40,0,-383,1,23,8,5,1,1,110,1,6
799,25,20,13,0,3,19,4,39,0,-383,1,23,8,5,1,1,110,1,6
799,26,0,18,1,2,2,4,5,0,-383,1,23,8,5,1,1,110,1,6
799,27,20,13,2,3,20,6,40,0,-383,1,23,8,5,1,1,110,1,6
237,1,10,8,1,2,22,10,45,0,-288,1,24,6,5,4,5,85,2,4
237,2,13,8,2,2,23,13,47,0,-288,1,24,6,5,4,5,85,2,4
237,3,12,10,1,2,20,12,41,0,-288,1,24,6,5,4,5,85,2,4
237,4,10,9,2,1,21,10,42,0,-288,1,24,6,5,4,5,85,2,4
237,5,9,11,0,2,18,12,36,0,-288,1,24,6,5,4,5,85,2,4
237,6,5,16,0,1,8,9,17,0,-288,1,24,6,5,4,5,85,2,4
237,7,0,10,0,2,14,5,28,0,-288,1,24,6,5,4,5,85,2,4
237,8,7,10,0,2,18,7,37,0,-288,1,24,6,5,4,5,85,2,4
237,9,10,13,0,1,15,10,31,0,-288,1,24,6,5,4,5,85,2,4
237,10,8,15,0,1,11,8,22,0,-288,1,24,6,5,4,5,85,2,4
237,11,10,13,1,2,15,5,30,0,-288,1,24,6,5,4,5,85,2,4
